ts,cpu_percent_lag_0,cpu_percent_lag_1,cpu_percent_lag_3,cpu_percent_lag_5,cpu_percent_lag_10,cpu_percent_lag_20,cpu_percent_roll_mean,cpu_percent_roll_std,cpu_percent_roll_max,cpu_percent_roll_min,cpu_percent_delta,cpu_percent_ewma_fast,cpu_percent_ewma_slow,cpu_percent_trend,cpu_percent_headroom,cpu_percent_level_x_vol,cpu_percent_slope_x_vol,cpu_percent_steps_to_saturation,cpu_percent_zscore_local,mem_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:27:22,72.4,81.5,23.3,97.4,100.0,74.8,79.135,24.093060895895583,100.0,23.3,-9.099999999999994,71.64073572650656,75.44698753174916,-3.8062518052425958,27.599999999999994,1744.3376088628404,-219.24685415264966,551.9999999999999,-0.2795410690696985,71.1,85.8,15.0,27.0,22.0,4.0,81.1
2026-07-17 15:27:25,81.1,72.4,69.7,60.35,100.0,77.0,77.245,22.99051072362971,100.0,23.3,8.699999999999989,76.37036786325328,76.47480798052203,-0.10444011726875146,18.900000000000006,1864.5304196863694,200.01744329557823,2.172413793103452,0.16767787572625822,70.6,85.8,15.0,27.0,25.0,4.0,76.2
2026-07-17 15:27:28,76.2,81.1,81.5,23.3,100.0,76.5,74.86500000000001,21.560587113218087,97.4,23.3,-4.8999999999999915,76.28518393162665,76.42484289315439,-0.13965896152774349,23.799999999999997,1642.9167380272183,-105.64687685476845,475.99999999999994,0.06191853649391343,70.1,85.8,15.0,27.0,28.0,4.0,57.2
2026-07-17 15:27:31,57.2,76.2,72.4,69.7,91.7,91.0,71.41499999999999,21.326405776251473,97.4,23.3,-19.0,66.74259196581332,72.92941691258086,-6.186824946767544,42.8,1219.8704104015844,-405.201709748778,855.9999999999999,-0.6665445715109407,70.1,85.8,15.0,27.0,31.0,4.0,62.5
2026-07-17 15:27:34,62.5,57.2,81.1,81.5,95.0,89.4,68.16499999999999,19.751062559321227,97.4,23.3,5.299999999999997,64.62129598290666,71.0331592921116,-6.411863309204946,37.5,1234.4414099575768,104.68063156440245,7.075471698113211,-0.28682001198596163,69.8,85.8,15.0,27.0,34.0,4.0,60.9
2026-07-17 15:27:37,60.9,62.5,76.2,72.4,97.4,90.2,64.515,16.917480276001125,81.5,23.3,-1.6000000000000014,62.760647991453325,69.19076669354585,-6.430118702092528,39.1,1030.2745488084686,-27.067968441601824,782.0,-0.21368430410574704,69.5,85.8,15.0,27.0,37.0,4.0,63.3
2026-07-17 15:27:40,63.3,60.9,57.2,81.1,60.35,90.1,64.81,16.862413824835347,81.5,23.3,2.3999999999999986,63.03032399572666,68.11971820381024,-5.089394208083576,36.7,1067.3907951120775,40.46979317960481,15.291666666666677,-0.0895482708279904,69.5,85.8,15.0,27.0,40.0,4.0,56.4
2026-07-17 15:27:43,56.4,63.3,62.5,76.2,23.3,90.3,68.12,9.411317064517979,81.5,56.4,-6.899999999999999,59.71516199786333,65.988860348572,-6.2736983507086705,43.6,530.798282438814,-64.93808774517404,872.0,-1.2453092292667616,69.5,85.8,15.0,27.0,43.0,4.0,42.6
2026-07-17 15:27:46,42.6,56.4,60.9,57.2,69.7,95.15,65.41,12.349039548797956,81.5,42.6,-13.799999999999997,51.157580998931664,61.73634028519527,-10.578759286263605,57.4,526.0690847787929,-170.41674577341175,1148.0,-1.8471072110397686,69.4,85.8,15.0,27.0,46.0,4.0,45.3
2026-07-17 15:27:49,45.3,42.6,63.3,62.5,81.5,100.0,61.79,12.41401090166529,81.1,42.6,2.6999999999999957,48.22879049946583,58.74791477879612,-10.519124279330292,54.7,562.3546938454376,33.51782943449623,20.25925925925929,-1.3283378056151003,69.3,85.8,15.0,27.0,49.0,4.0,45.4
